20140824T105140.790000 20140824T105143.810000
20140824T105242.420000 20140824T105245.150000
20140824T105353.080000 20140824T105355.850000
20140824T105506.260000 20140824T105508.720000
20140824T105750.650000 20140824T105753.670000
20140824T110441.320000 20140824T110444.130000
20140824T110733.830000 20140824T110736.880000
20140824T111552.660000 20140824T111555.430000
20140824T112211.730000 20140824T112214.790000
20140824T113233.570000 20140824T113236.290000
20140824T113254.800000 20140824T113257.630000
20140824T113321.280000 20140824T113324.310000
20140824T113353.290000 20140824T113356.000000
20140824T113734.780000 20140824T113737.350000
20140824T114103.600000 20140824T114106.490000
20140824T114157.800000 20140824T114200.340000
20140824T114559.390000 20140824T114602.130000
20140824T115300.040000 20140824T115302.750000
20140824T115954.100000 20140824T115956.490000
20140824T120123.960000 20140824T120126.670000
20140824T120726.180000 20140824T120728.700000
20140824T121027.550000 20140824T121030.300000
20140824T121913.550000 20140824T121916.200000
20140824T123334.200000 20140824T123336.770000
20140824T123401.860000 20140824T123404.960000
20140824T123526.570000 20140824T123529.360000
20140824T123741.900000 20140824T123744.500000
20140824T124715.960000 20140824T124718.670000
20140824T125235.550000 20140824T125238.500000
20140824T125641.670000 20140824T125644.450000
20140824T132150.440000 20140824T132152.970000
20140824T132432.800000 20140824T132435.090000
20140824T133154.250000 20140824T133157.290000
20140824T133704.840000 20140824T133707.700000
20140824T141245.240000 20140824T141248.310000
20140824T142348.800000 20140824T142352.160000
20140824T142930.120000 20140824T142932.930000
20140824T144943.490000 20140824T144945.950000
20140824T150300.020000 20140824T150302.610000
20140824T150736.900000 20140824T150739.390000
20140824T151052.400000 20140824T151055.180000
20140824T151401.040000 20140824T151404.020000
20140824T154355.310000 20140824T154358.110000
20140824T160650.570000 20140824T160653.510000
20140824T160716.780000 20140824T160719.700000
20140824T161649.720000 20140824T161652.350000
20140824T162816.680000 20140824T162819.490000
20140824T171913.920000 20140824T171916.660000
20140824T173333.700000 20140824T173336.430000
20140824T174540.040000 20140824T174542.660000
20140824T191220.760000 20140824T191223.770000
20140824T192957.640000 20140824T193000.050000
20140824T202756.810000 20140824T202759.870000
20140824T210046.040000 20140824T210048.550000
20140824T213738.940000 20140824T213740.810000
20140824T213835.040000 20140824T213837.770000
20140825T000515.410000 20140825T000518.060000
20140825T001717.310000 20140825T001720.340000
20140825T010242.920000 20140825T010245.970000
20140825T013211.720000 20140825T013213.880000
20140825T023100.090000 20140825T023102.720000
20140825T032412.600000 20140825T032415.720000
20140825T040100.530000 20140825T040103.720000
20140825T055734.510000 20140825T055737.010000
20140825T154005.530000 20140825T154008.430000
20140825T231934.180000 20140825T231937.140000
20140826T000238.030000 20140826T000240.760000
20140826T011144.880000 20140826T011147.490000
20140826T035543.970000 20140826T035546.250000
20140826T044450.630000 20140826T044453.720000
20140826T080922.840000 20140826T080925.480000
20140826T114030.280000 20140826T114033.100000
20140826T134556.040000 20140826T134558.670000
