# P(station WBS) S(station WBS)
20190704T181301.290000 20190704T181308.020000
20190704T181401.940000 20190704T181409.610000
20190704T181513.610000 20190704T181519.930000
20190704T181854.090000 20190704T181900.460000
20190704T182252.790000 20190704T182259.960000
20190704T182539.270000 20190704T182545.650000
20190704T182852.800000 20190704T182859.450000
20190704T183413.950000 20190704T183420.970000
20190704T183527.950000 20190704T183534.720000
20190704T183741.210000 20190704T183748.130000
20190704T183953.090000 20190704T183959.730000
20190704T184809.630000 20190704T184817.290000
20190704T185056.470000 20190704T185103.540000
20190704T185422.470000 20190704T185428.980000
20190704T185508.770000 20190704T185516.050000
20190704T190138.400000 20190704T190145.720000
20190704T190254.610000 20190704T190302.210000
20190704T190543.530000 20190704T190550.410000
20190704T191030.490000 20190704T191038.180000
20190704T191509.210000 20190704T191516.490000
20190704T192101.310000 20190704T192108.170000
20190704T192456.240000 20190704T192503.450000
20190704T192708.640000 20190704T192716.050000
20190704T192728.660000 20190704T192736.220000
20190704T193330.910000 20190704T193337.960000
20190704T193416.030000 20190704T193422.290000
20190704T194039.150000 20190704T194046.330000
20190704T194758.660000 20190704T194804.960000
20190704T194850.830000 20190704T194857.040000
20190704T194915.710000 20190704T194923.610000
20190704T195221.710000 20190704T195228.010000
20190704T195248.880000 20190704T195255.770000
20190704T195353.950000 20190704T195401.330000
20190704T195810.230000 20190704T195817.490000
20190704T200502.210000 20190704T200509.600000
20190704T200954.520000 20190704T201001.620000
20190704T201337.650000 20190704T201343.610000
20190704T202318.480000 20190704T202324.820000
20190704T202944.040000 20190704T202951.120000
20190704T203017.860000 20190704T203024.490000
20190704T203243.670000 20190704T203250.250000
20190704T203440.800000 20190704T203447.170000
20190704T203738.850000 20190704T203745.660000
20190704T204951.410000 20190704T204957.660000
20190704T205334.770000 20190704T205340.820000
20190704T205454.470000 20190704T205501.380000
20190704T205508.920000 20190704T205516.490000
20190704T205535.880000 20190704T205543.650000
20190704T205721.920000 20190704T205728.890000
20190704T205819.010000 20190704T205825.770000
20190704T210139.430000 20190704T210146.660000
20190704T210717.050000 20190704T210723.320000
20190704T211630.470000 20190704T211637.530000
20190704T212308.670000 20190704T212315.440000
20190704T212559.340000 20190704T212606.650000
20190704T213123.290000 20190704T213130.210000
20190704T213255.710000 20190704T213302.660000
20190704T213636.090000 20190704T213643.880000
20190704T214311.250000 20190704T214318.700000
20190704T214617.070000 20190704T214623.390000
20190704T220417.510000 20190704T220424.170000
20190704T221518.980000 20190704T221525.910000
20190704T222005.530000 20190704T222012.810000
20190704T222035.590000 20190704T222041.940000
20190704T223148.570000 20190704T223155.610000
20190704T223547.630000 20190704T223553.860000
20190704T223823.350000 20190704T223830.780000
20190704T224418.120000 20190704T224424.410000
20190704T224856.750000 20190704T224903.620000
20190704T225152.570000 20190704T225159.760000
20190704T225207.190000 20190704T225214.560000
20190704T225706.320000 20190704T225712.890000
20190704T230338.280000 20190704T230345.010000
20190704T230622.420000 20190704T230629.320000
20190704T230721.550000 20190704T230729.450000
20190704T230845.260000 20190704T230852.420000
20190704T231835.250000 20190704T231842.450000
20190704T232230.090000 20190704T232237.660000
20190704T232329.070000 20190704T232336.180000
20190704T232624.910000 20190704T232632.380000
20190704T232832.040000 20190704T232839.840000
20190704T233154.920000 20190704T233202.860000
20190704T233704.760000 20190704T233712.050000
20190704T234404.420000 20190704T234411.140000
20190704T234532.570000 20190704T234539.610000
20190704T234622.510000 20190704T234629.950000
20190704T234640.860000 20190704T234647.370000
20190704T235106.840000 20190704T235113.850000
20190704T235446.470000 20190704T235453.730000
20190705T000112.120000 20190705T000119.530000
20190705T000833.310000 20190705T000840.550000
20190705T000930.770000 20190705T000937.980000
20190705T001415.490000 20190705T001422.540000
20190705T001653.060000 20190705T001700.610000
20190705T001728.260000 20190705T001734.840000
20190705T002036.620000 20190705T002043.960000
20190705T002212.050000 20190705T002218.010000
20190705T002354.320000 20190705T002401.570000
20190705T003058.040000 20190705T003105.280000
20190705T003217.560000 20190705T003225.650000
20190705T004951.850000 20190705T004959.660000
20190705T005012.570000 20190705T005018.410000
20190705T005039.600000 20190705T005045.450000
20190705T005300.990000 20190705T005307.130000
20190705T005415.610000 20190705T005422.970000
20190705T005653.350000 20190705T005700.530000
20190705T005919.310000 20190705T005926.740000
20190705T005936.800000 20190705T005943.470000
20190705T010417.510000 20190705T010424.690000
20190705T010531.120000 20190705T010537.890000
20190705T011413.630000 20190705T011420.480000
20190705T011823.500000 20190705T011830.760000
20190705T012438.790000 20190705T012446.040000
20190705T013319.590000 20190705T013326.230000
20190705T013546.470000 20190705T013552.720000
20190705T013935.320000 20190705T013942.520000
20190705T014325.870000 20190705T014332.080000
20190705T014602.560000 20190705T014608.880000
20190705T015206.630000 20190705T015214.610000
20190705T015301.800000 20190705T015309.380000
20190705T020150.470000 20190705T020157.290000
20190705T020440.930000 20190705T020448.130000
20190705T021009.520000 20190705T021017.080000
20190705T021951.160000 20190705T021958.040000
20190705T022146.350000 20190705T022152.570000
20190705T022513.880000 20190705T022521.080000
20190705T022806.500000 20190705T022812.570000
20190705T023226.070000 20190705T023233.500000
20190705T024158.650000 20190705T024206.260000
20190705T024519.350000 20190705T024526.180000
20190705T024950.930000 20190705T024958.040000
20190705T025404.370000 20190705T025410.180000
20190705T025757.880000 20190705T025804.320000
20190705T030000.000000 20190705T030007.420000
20190705T030212.880000 20190705T030220.540000
20190705T030440.930000 20190705T030447.150000
20190705T030631.330000 20190705T030639.090000
20190705T031527.810000 20190705T031534.410000
20190705T031659.700000 20190705T031706.980000
20190705T031752.200000 20190705T031758.890000
20190705T032003.700000 20190705T032011.040000
20190705T032407.180000 20190705T032414.540000
20190705T033131.680000 20190705T033138.780000
20190705T034115.920000 20190705T034121.920000
20190705T034211.060000 20190705T034217.890000
20190705T034311.790000 20190705T034319.060000
20190705T034623.520000 20190705T034631.410000
20190705T035025.010000 20190705T035033.140000
20190705T035528.470000 20190705T035535.780000
20190705T035638.430000 20190705T035645.580000
20190705T035856.620000 20190705T035903.770000
20190705T040227.850000 20190705T040235.820000
20190705T040452.010000 20190705T040500.000000
20190705T041310.570000 20190705T041317.460000
20190705T041538.980000 20190705T041545.420000
20190705T043030.450000 20190705T043037.180000
20190705T043302.460000 20190705T043309.780000
20190705T043726.130000 20190705T043733.380000
20190705T043924.990000 20190705T043933.160000
20190705T044057.090000 20190705T044104.280000
20190705T045316.540000 20190705T045322.620000
20190705T045454.070000 20190705T045501.410000
20190705T050010.440000 20190705T050017.810000
20190705T050147.980000 20190705T050154.050000
20190705T051144.700000 20190705T051151.970000
20190705T051834.750000 20190705T051841.620000
20190705T052708.110000 20190705T052714.040000
20190705T053146.900000 20190705T053153.170000
20190705T054429.440000 20190705T054436.010000
20190705T060457.080000 20190705T060504.570000
20190705T060831.470000 20190705T060838.810000
20190705T060932.020000 20190705T060938.530000
20190705T062129.280000 20190705T062136.440000
20190705T062430.710000 20190705T062438.370000
20190705T062500.210000 20190705T062507.250000
20190705T063208.890000 20190705T063216.090000
20190705T063721.370000 20190705T063727.450000
20190705T064012.090000 20190705T064018.850000
20190705T064030.310000 20190705T064037.840000
20190705T064756.300000 20190705T064802.640000
20190705T065300.620000 20190705T065308.050000
20190705T065541.170000 20190705T065548.590000
20190705T065910.660000 20190705T065917.900000
20190705T070116.000000 20190705T070123.160000
20190705T071951.400000 20190705T071958.770000
20190705T073847.300000 20190705T073854.130000
20190705T074437.340000 20190705T074444.680000
20190705T075840.410000 20190705T075847.760000
20190705T075935.360000 20190705T075941.530000
20190705T080053.000000 20190705T080100.300000
20190705T080220.120000 20190705T080226.010000
20190705T080248.310000 20190705T080256.050000
20190705T080307.280000 20190705T080314.610000
20190705T081118.520000 20190705T081125.620000
20190705T081748.790000 20190705T081756.900000
20190705T082113.290000 20190705T082119.500000
20190705T082623.950000 20190705T082630.170000
20190705T083132.180000 20190705T083139.420000
20190705T083442.840000 20190705T083450.090000
20190705T085703.060000 20190705T085710.370000
20190705T090248.750000 20190705T090255.090000
20190705T090314.520000 20190705T090320.690000
20190705T091219.750000 20190705T091225.650000
20190705T092203.210000 20190705T092210.650000
20190705T093130.820000 20190705T093137.640000
20190705T094117.780000 20190705T094124.850000
20190705T094133.240000 20190705T094141.190000
20190705T094638.760000 20190705T094645.810000
20190705T095405.650000 20190705T095411.480000
20190705T102108.670000 20190705T102114.490000
20190705T102136.400000 20190705T102143.490000
20190705T102326.060000 20190705T102334.370000
20190705T102919.810000 20190705T102926.050000
20190705T103956.510000 20190705T104004.100000
20190705T104440.480000 20190705T104446.680000
20190705T104539.060000 20190705T104546.890000
20190705T104834.300000 20190705T104841.380000
20190705T105017.270000 20190705T105023.460000
20190705T105736.270000 20190705T105743.410000
20190705T110237.820000 20190705T110243.680000
20190705T110506.710000 20190705T110513.780000
20190705T111018.780000 20190705T111025.660000
